Name,OID__c,Status__c,SDID__c,SD_Name__c,Dummy
yē,O-007351,Active,SD-000065,CV - VI,
yĕ,O-007350,Active,SD-000065,CV - VI,
yā,O-007349,Active,SD-000065,CV - VI,
yă,O-007348,Active,SD-000065,CV - VI,
y words,O-007347,Active,SD-000518,Words - VI,
Y,O-007346,Active,SD-000521,Write (with visual),
y,O-007345,Active,SD-000521,Write (with visual),
y,O-007344,Active,SD-000145,Expressive,
y,O-007343,Active,SD-000138,Expressive,
Y,O-007342,Active,SD-000138,Expressive,
Y,O-007341,Active,SD-000520,Write (no visual),
y,O-007340,Active,SD-000520,Write (no visual),
y,O-007339,Active,SD-000438,Single sound VI,
Y,O-007338,Active,SD-000479,Trace,
y,O-007337,Active,SD-000479,Trace,
y,O-007336,Active,SD-000387,Receptive,
y,O-007335,Active,SD-000424,Say (sound) th points,
y,O-007334,Active,SD-000380,Receptive,
Y,O-007333,Active,SD-000380,Receptive,
y,O-007332,Active,SD-000259,Matching,
Y,O-007331,Active,SD-000259,Matching,
y,O-007330,Active,SD-000445,Sound paired w gesture,
xylophone,O-007329,Active,SD-000294,Out of sight,
Xx,O-007328,Active,SD-000270,Matching different cases,
xū,O-007327,Active,SD-000065,CV - VI,
xŭ,O-007326,Active,SD-000065,CV - VI,
xō,O-007325,Active,SD-000065,CV - VI,
xŏ,O-007324,Active,SD-000065,CV - VI,
xī,O-007323,Active,SD-000065,CV - VI,
xĭ,O-007322,Active,SD-000065,CV - VI,
xē,O-007321,Active,SD-000065,CV - VI,
xĕ,O-007320,Active,SD-000065,CV - VI,
xā,O-007319,Active,SD-000065,CV - VI,
xă,O-007318,Active,SD-000065,CV - VI,
x words,O-007317,Active,SD-000518,Words - VI,
X shape,O-007316,Active,SD-000220,Imitation,
X shape,O-007315,Active,SD-000374,Receptive,
X shape,O-007314,Active,SD-000180,From model,
X,O-007313,Active,SD-000521,Write (with visual),
x,O-007312,Active,SD-000521,Write (with visual),
x,O-007311,Active,SD-000145,Expressive,
x,O-007310,Active,SD-000138,Expressive,
X,O-007309,Active,SD-000138,Expressive,
X,O-007308,Active,SD-000520,Write (no visual),
x,O-007307,Active,SD-000520,Write (no visual),
x,O-007306,Active,SD-000438,Single sound VI,
X,O-007305,Active,SD-000479,Trace,
x,O-007304,Active,SD-000479,Trace,
x,O-007303,Active,SD-000387,Receptive,
x,O-007302,Active,SD-000380,Receptive,
X,O-007301,Active,SD-000380,Receptive,
x,O-007300,Active,SD-000259,Matching,
X,O-007299,Active,SD-000259,Matching,
x,O-007298,Active,SD-000445,Sound paired w gesture,
Ww,O-007297,Active,SD-000270,Matching different cases,
wū,O-007296,Active,SD-000065,CV - VI,
wŭ,O-007295,Active,SD-000065,CV - VI,
Wrote,O-007294,Active,SD-000088,Exp. past tense,
wrote,O-007293,Active,SD-000299,Past,
writing,O-007292,Active,SD-000322,Present,
Writing,O-007291,Active,SD-000137,Expressive,
Writing,O-007290,Active,SD-000378,Receptive,
Writing,O-007289,Active,SD-000122,Expressive,
Writing,O-007288,Active,SD-000035,Brainstorming,
Writing,O-007287,Active,SD-000359,Receptive,
write,O-007286,Active,SD-000182,Future,
Worried/nervous,O-007285,Active,SD-000510,Why,
Worried/nervous,O-007284,Active,SD-000208,How to help,
Worried/nervous,O-007283,Active,SD-000207,How they feel,
Worried,O-007282,Active,SD-000074,Emotions Brainstorming,
Worksheet,O-007281,Active,SD-000501,Visual cue,
Worksheet,O-007280,Active,SD-000367,Receptive,
Worksheet,O-007279,Active,SD-000219,Imitation,
Word visual,O-007278,Active,SD-000482,Type,
Woolworths,O-007277,Active,SD-000400,Receptive Function,
Woolworths,O-007276,Active,SD-000165,Expressive Function,
Woolworths,O-007275,Active,SD-000139,Expressive,
Woolworths,O-007274,Active,SD-000381,Receptive,
Women,O-007273,Active,SD-000388,Receptive,
wō,O-007272,Active,SD-000065,CV - VI,
wŏ,O-007271,Active,SD-000065,CV - VI,
With similar names,O-007270,Active,SD-000377,Receptive,
With nose,O-007269,Active,SD-000317,Point,
With distractor item/s,O-007268,Active,SD-000289,Non-Identical,
With distractor item/s,O-007267,Active,SD-000213,Identical,
With distractor colour/s,O-007266,Active,SD-000050,Colours,
with distractions,O-007265,Active,SD-000519,Worksheet,
with,O-007264,Active,SD-000392,Receptive,
with,O-007263,Active,SD-000382,Receptive,
with,O-007262,Active,SD-000154,Expressive,
with,O-007261,Active,SD-000266,Matching,
with,O-007260,Active,SD-000140,Expressive,
with,O-007259,Active,SD-000260,Matching,
Wipe,O-007258,Active,SD-000464,Toilet routine,
Winter clothes,O-007257,Active,SD-000369,Receptive,
Winter clothes,O-007256,Active,SD-000129,Expressive,
Winter clothes,O-007255,Active,SD-000034,Brainstorming,
Wing,O-007254,Active,SD-000131,Expressive,
Wing,O-007253,Active,SD-000371,Receptive,
Window,O-007252,Active,SD-000249,Location,
window,O-007251,Active,SD-000392,Receptive,
Window,O-007250,Active,SD-000131,Expressive,
Window,O-007249,Active,SD-000371,Receptive,
window,O-007248,Active,SD-000154,Expressive,
window,O-007247,Active,SD-000266,Matching,
wī,O-007246,Active,SD-000065,CV - VI,
wĭ,O-007245,Active,SD-000065,CV - VI,
Why same?,O-007244,Active,SD-000147,Expressive,
Why Different?,O-007243,Active,SD-000147,Expressive,
Why,O-007242,Active,SD-000153,Expressive,
Who is it?,O-007241,Active,SD-000524,You be the teacher,
Who did you go with?,O-007240,Active,SD-000450,Statement,
Who,O-007239,Active,SD-000153,Expressive,
White food,O-007238,Active,SD-000369,Receptive,
White food,O-007237,Active,SD-000129,Expressive,
White food,O-007236,Active,SD-000034,Brainstorming,
white,O-007235,Active,SD-000392,Receptive,
White,O-007234,Active,SD-000128,Expressive,
white,O-007233,Active,SD-000154,Expressive,
white,O-007232,Active,SD-000266,Matching,
White,O-007231,Active,SD-000368,Receptive,
White,O-007230,Active,SD-000257,Matching,
Where is it?,O-007229,Active,SD-000524,You be the teacher,
Where did you go?,O-007228,Active,SD-000450,Statement,
Where are you going tomorrow?,O-007227,Active,SD-000339,Q/A,
Where are you going today?,O-007226,Active,SD-000339,Q/A,
Where are we going?,O-007225,Active,SD-000450,Statement,
Where,O-007224,Active,SD-000153,Expressive,
When we go outside stay with (person),O-007223,Active,SD-000278,Model rule,
When we eat we use (cutlery),O-007222,Active,SD-000278,Model rule,
When,O-007221,Active,SD-000153,Expressive,
Wheels on the bus,O-007220,Active,SD-000314,PLQ Intraverbal,
Wheels on the Bus,O-007219,Active,SD-000237,Intraverbal,
Wheels on the bus,O-007218,Active,SD-000251,Mand,
Wheels on Bus,O-007217,Active,SD-000110,Exposure,
Wheels,O-007216,Active,SD-000131,Expressive,
Wheels,O-007215,Active,SD-000371,Receptive,
Wheelbarrow walk,O-007214,Active,SD-000022,Activity,
what's the weather today?,O-007213,Active,SD-000339,Q/A,
What's the time mr wolf,O-007212,Active,SD-000440,Social game,
What shape is it?,O-007211,Active,SD-000524,You be the teacher,
What is it?,O-007210,Active,SD-000524,You be the teacher,
What is it?,O-007209,Active,SD-000450,Statement,
What did you see?,O-007208,Active,SD-000450,Statement,
What did you have?,O-007207,Active,SD-000450,Statement,
What did you do?,O-007206,Active,SD-000450,Statement,
what did you do today?,O-007205,Active,SD-000339,Q/A,
What did you buy?,O-007204,Active,SD-000450,Statement,
What colour is it?,O-007203,Active,SD-000524,You be the teacher,
What can person see,O-007202,Active,SD-000345,Question,
What are they doing?,O-007201,Active,SD-000524,You be the teacher,
What,O-007200,Active,SD-000153,Expressive,
Wet wipe / cloth,O-007199,Active,SD-000472,Tolerance,
Wet hands,O-007198,Active,SD-000472,Tolerance,
Wet,O-007197,Active,SD-000086,Exp. non-visual,
Wet,O-007196,Active,SD-000143,Expressive,
Wet,O-007195,Active,SD-000290,Non-Identical Receptive,
Wet,O-007194,Active,SD-000214,Identical Receptive,
Well Done,O-007193,Active,SD-000379,Receptive,
Well Done,O-007192,Active,SD-000334,Q/A,
Well Done,O-007191,Active,SD-000236,Instructional gesture,
weekends,O-007190,Active,SD-000172,Expressive reverse,
Weekend,O-007189,Active,SD-000132,Expressive,
Wednesday,O-007188,Active,SD-000373,Receptive,
Wednesday,O-007187,Active,SD-000132,Expressive,
Wearing undies,O-007186,Active,SD-000465,Toileting,
Wearing,O-007185,Active,SD-000137,Expressive,
Wearing,O-007184,Active,SD-000378,Receptive,
Wearing,O-007183,Active,SD-000035,Brainstorming,
wear a jacket,O-007182,Active,SD-000514,Why/because,
wear a hat,O-007181,Active,SD-000514,Why/because,
wē,O-007180,Active,SD-000065,CV - VI,
wĕ,O-007179,Active,SD-000065,CV - VI,
We,O-007178,Active,SD-000091,Exp. We/they/I/You,
we,O-007177,Active,SD-000392,Receptive,
we,O-007176,Active,SD-000382,Receptive,
we,O-007175,Active,SD-000154,Expressive,
we,O-007174,Active,SD-000266,Matching,
we,O-007173,Active,SD-000140,Expressive,
we,O-007172,Active,SD-000260,Matching,
Wavy,O-007171,Active,SD-000244,Language exposure,
waving,O-007170,Active,SD-000322,Present,
Waving,O-007169,Active,SD-000122,Expressive,
Waving,O-007168,Active,SD-000359,Receptive,
waved,O-007167,Active,SD-000299,Past,
Waved,O-007166,Active,SD-000088,Exp. past tense,
Wave (re-intro'd),O-007165,Active,SD-000352,Rec. Instr.,
wave,O-007164,Active,SD-000182,Future,
Wave,O-007163,Active,SD-000352,Rec. Instr.,
Wave,O-007162,Active,SD-000307,Planned model,
Wave,O-007161,Active,SD-000408,Reciprocal,
Watermelon,O-007160,Active,SD-000007,2D Receptive,
Watering Can,O-007159,Active,SD-000135,Expressive,
Water transport,O-007158,Active,SD-000369,Receptive,
Water transport,O-007157,Active,SD-000129,Expressive,
Water transport,O-007156,Active,SD-000034,Brainstorming,
Water play,O-007155,Active,SD-000023,Activity,
Water mat,O-007154,Active,SD-000057,Communication opportunity,
Water Bottle,O-007153,Active,SD-000227,In Vivo,
Water animals,O-007152,Active,SD-000369,Receptive,
Water animals,O-007151,Active,SD-000129,Expressive,
Water animals,O-007150,Active,SD-000034,Brainstorming,
Water,O-007149,Active,SD-000007,2D Receptive,
water,O-007148,Active,SD-000497,Visual - 2D,
Water,O-007147,Active,SD-000135,Expressive,
water,O-007146,Active,SD-000124,Expressive,
water,O-007145,Active,SD-000392,Receptive,
water,O-007144,Active,SD-000154,Expressive,
water,O-007143,Active,SD-000266,Matching,
Watching,O-007142,Active,SD-000137,Expressive,
Watching,O-007141,Active,SD-000378,Receptive,
Watching,O-007140,Active,SD-000035,Brainstorming,
watch on leg,O-007139,Active,SD-000151,Expressive,
Watch,O-007138,Active,SD-000135,Expressive,
Washing hands sequence,O-007137,Active,SD-000472,Tolerance,
Washing hands,O-007136,Active,SD-000431,Sequence,
Washing hands,O-007135,Active,SD-000148,Expressive,
Washing face,O-007134,Active,SD-000431,Sequence,
Washing face,O-007133,Active,SD-000148,Expressive,
washing,O-007132,Active,SD-000322,Present,
Washing,O-007131,Active,SD-000137,Expressive,
Washing,O-007130,Active,SD-000378,Receptive,
Washing,O-007129,Active,SD-000122,Expressive,
Washing,O-007128,Active,SD-000035,Brainstorming,
Washing,O-007127,Active,SD-000359,Receptive,
washed,O-007126,Active,SD-000299,Past,
wash hands,O-007125,Active,SD-000514,Why/because,
Wash hands,O-007124,Active,SD-000464,Toilet routine,
Wash Hands,O-007123,Active,SD-000066,Daily living task,
wash hands,O-007122,Active,SD-000460,Tell me how to,
Wash hands,O-007121,Active,SD-000234,Instruction w contextual cue,
wash,O-007120,Active,SD-000182,Future,
was,O-007119,Active,SD-000392,Receptive,
was,O-007118,Active,SD-000382,Receptive,
was,O-007117,Active,SD-000154,Expressive,
was,O-007116,Active,SD-000266,Matching,
was,O-007115,Active,SD-000140,Expressive,
was,O-007114,Active,SD-000260,Matching,
Wardrobe,O-007113,Active,SD-000239,Item,
Want (item),O-007112,Active,SD-000054,Communication opportunity,
Want (activity),O-007111,Active,SD-000054,Communication opportunity,
Walked,O-007110,Active,SD-000088,Exp. past tense,
Walk backwards,O-007109,Active,SD-000022,Activity,
Walk around objects with item,O-007108,Active,SD-000201,Go to holding item,
Walk around objects,O-007107,Active,SD-000197,Go to,
Walk animal,O-007106,Active,SD-000308,Planned model w item,
wake up,O-007105,Active,SD-000152,Expressive,
Wait a minute,O-007104,Active,SD-000054,Communication opportunity,
Wait a minute,O-007103,Active,SD-000040,Challenging situation,
Wait,O-007102,Active,SD-000056,Communication opportunity,
Wait,O-007101,Active,SD-000054,Communication opportunity,
Wait,O-007100,Active,SD-000040,Challenging situation,
wā,O-007099,Active,SD-000065,CV - VI,
wă,O-007098,Active,SD-000065,CV - VI,
W/O similar names,O-007097,Active,SD-000377,Receptive,
w words,O-007096,Active,SD-000518,Words - VI,
w condition,O-007095,Active,SD-000370,Receptive,
W,O-007094,Active,SD-000521,Write (with visual),
w,O-007093,Active,SD-000521,Write (with visual),
w,O-007092,Active,SD-000145,Expressive,
w,O-007091,Active,SD-000138,Expressive,
W,O-007090,Active,SD-000138,Expressive,
W,O-007089,Active,SD-000520,Write (no visual),
w,O-007088,Active,SD-000520,Write (no visual),
w,O-007087,Active,SD-000438,Single sound VI,
W,O-007086,Active,SD-000479,Trace,
w,O-007085,Active,SD-000479,Trace,
w,O-007084,Active,SD-000387,Receptive,
w,O-007083,Active,SD-000424,Say (sound) th points,
w,O-007082,Active,SD-000380,Receptive,
W,O-007081,Active,SD-000380,Receptive,
w,O-007080,Active,SD-000259,Matching,
W,O-007079,Active,SD-000259,Matching,
w,O-007078,Active,SD-000445,Sound paired w gesture,
Vv,O-007077,Active,SD-000270,Matching different cases,
vū,O-007076,Active,SD-000065,CV - VI,
vŭ,O-007075,Active,SD-000065,CV - VI,
Volume quiet,O-007074,Active,SD-000487,VI,
Volume quiet,O-007073,Active,SD-000489,VI intonation,
Volume normal,O-007072,Active,SD-000487,VI,
Volume normal,O-007071,Active,SD-000489,VI intonation,
Volume Loud,O-007070,Active,SD-000487,VI,
Volume Loud,O-007069,Active,SD-000489,VI intonation,
Vol 7,O-007068,Active,SD-000503,Volume,
Vol 6,O-007067,Active,SD-000503,Volume,
Vol 5,O-007066,Active,SD-000503,Volume,
Vol 4,O-007065,Active,SD-000503,Volume,
Vol 3,O-007064,Active,SD-000503,Volume,
Vol 2,O-007063,Active,SD-000503,Volume,
Vol 1,O-007062,Active,SD-000503,Volume,
Vol 0,O-007061,Active,SD-000503,Volume,
Vocalisation,O-007060,Active,SD-000054,Communication opportunity,
vō,O-007059,Active,SD-000065,CV - VI,
vŏ,O-007058,Active,SD-000065,CV - VI,
Visual U-Z,O-007057,Active,SD-000428,Sequence,
Visual P-T,O-007056,Active,SD-000428,Sequence,
Visual K-O,O-007055,Active,SD-000428,Sequence,
Visual F-J,O-007054,Active,SD-000428,Sequence,
Visual A-Z,O-007053,Active,SD-000428,Sequence,
Visual A-T,O-007052,Active,SD-000428,Sequence,
Visual A-O,O-007051,Active,SD-000428,Sequence,
Visual A-J,O-007050,Active,SD-000428,Sequence,
Visual A-E,O-007049,Active,SD-000428,Sequence,
Visual,O-007048,Active,SD-000433,Sequencing,
Violin,O-007047,Active,SD-000007,2D Receptive,
Video Modelling,O-007046,Active,SD-000111,Exposure,
Video,O-007045,Active,SD-000282,Next,
vī,O-007044,Active,SD-000065,CV - VI,
vĭ,O-007043,Active,SD-000065,CV - VI,
Vet play,O-007042,Active,SD-000023,Activity,
Vet,O-007041,Active,SD-000094,Exposure,
Vet,O-007040,Active,SD-000117,Exposure,
Vet,O-007039,Active,SD-000165,Expressive Function,
Vet,O-007038,Active,SD-000400,Receptive Function,
Vet,O-007037,Active,SD-000139,Expressive,
Vet,O-007036,Active,SD-000381,Receptive,
Vet,O-007035,Active,SD-000216,Imaginary Play,
Vet,O-007034,Active,SD-000385,Receptive,
Vet,O-007033,Active,SD-000312,Play scenario,
Vet,O-007032,Active,SD-000414,Reverse exp. function,
Vet,O-007031,Active,SD-000142,Expressive,
Vet,O-007030,Active,SD-000078,Exp. function,
Vertical Painting,O-007029,Active,SD-000021,Activity,
Vertical Line,O-007028,Active,SD-000220,Imitation,
Vertical Line,O-007027,Active,SD-000374,Receptive,
Vertical Line,O-007026,Active,SD-000180,From model,
Verbal and Gesture,O-007025,Active,SD-000235,Instruction with gesture,
Verbal,O-007024,Active,SD-000230,Instruction,
velcro off,O-007023,Active,SD-000021,Activity,
Velcro,O-007022,Active,SD-000131,Expressive,
Velcro,O-007021,Active,SD-000371,Receptive,
Vegetables,O-007020,Active,SD-000369,Receptive,
Vegetables,O-007019,Active,SD-000129,Expressive,
Vegetables,O-007018,Active,SD-000034,Brainstorming,
vē,O-007017,Active,SD-000065,CV - VI,
vĕ,O-007016,Active,SD-000065,CV - VI,
VCV Blends,O-007015,Active,SD-000145,Expressive,
VC Blends,O-007014,Active,SD-000145,Expressive,
various words,O-007013,Active,SD-000479,Trace,
Various two words,O-007012,Active,SD-000518,Words - VI,
Various times,O-007011,Active,SD-000041,Change aspect of play,
Various three words,O-007010,Active,SD-000518,Words - VI,
Various still vs moving actions,O-007009,Active,SD-000306,Planned model,
Various still actions,O-007008,Active,SD-000306,Planned model,
Various Statements,O-007007,Active,SD-000040,Challenging situation,
Various slow actions,O-007006,Active,SD-000308,Planned model w item,
various situations,O-007005,Active,SD-000418,Role play,
various situations,O-007004,Active,SD-000338,Q/A,
Various single words,O-007003,Active,SD-000518,Words - VI,
Various single step,O-007002,Active,SD-000234,Instruction w contextual cue,
Various Sequences,O-007001,Active,SD-000517,Without Items,
Various Requests,O-007000,Active,SD-000054,Communication opportunity,
various pictures,O-006999,Active,SD-000479,Trace,
various numbers,O-006998,Active,SD-000479,Trace,
Various moving actions,O-006997,Active,SD-000306,Planned model,
various letters,O-006996,Active,SD-000479,Trace,
Various activities,O-006995,Active,SD-000041,Change aspect of play,
Various 8 step activities,O-006994,Active,SD-000069,Do (activity),
Various 7 step activities,O-006993,Active,SD-000069,Do (activity),
Various 6 step activities,O-006992,Active,SD-000069,Do (activity),
Various 5 step activities,O-006991,Active,SD-000069,Do (activity),
Various 4 step activities,O-006990,Active,SD-000069,Do (activity),
Various 3 step activities,O-006989,Active,SD-000069,Do (activity),
Various 2 step instructions,O-006988,Active,SD-000234,Instruction w contextual cue,
Various 2 step activities,O-006987,Active,SD-000069,Do (activity),
Various - re-intro'd,O-006986,Active,SD-000237,Intraverbal,
Various,O-006985,Active,SD-000237,Intraverbal,
Various,O-006984,Active,SD-000161,Expressive 3rd person,
Various,O-006983,Active,SD-000071,Draw,
Various,O-006982,Active,SD-000314,PLQ Intraverbal,
Various,O-006981,Active,SD-000316,PLQ Mand,
Various,O-006980,Active,SD-000121,Expressive,
Various,O-006979,Active,SD-000282,Next,
Various,O-006978,Active,SD-000512,Why not,
Various,O-006977,Active,SD-000150,Expressive,
Various,O-006976,Active,SD-000120,Expressive,
Various,O-006975,Active,SD-000059,Contextual Instruction,
Various,O-006974,Active,SD-000262,Matching,
various,O-006973,Active,SD-000151,Expressive,
Various,O-006972,Active,SD-000395,Receptive,
Various,O-006971,Active,SD-000066,Daily living task,
Various,O-006970,Active,SD-000460,Tell me how to,
Various,O-006969,Active,SD-000077,Engage In Strategy,
Various,O-006968,Active,SD-000394,Receptive,
Various,O-006967,Active,SD-000513,Why/because,
Various,O-006966,Active,SD-000351,Rec. instr.,
Various,O-006965,Active,SD-000440,Social game,
Various,O-006964,Active,SD-000063,Cutting and Pasting Activity,
Various,O-006963,Active,SD-000318,Point in direction,
Various,O-006962,Active,SD-000242,Item with visual,
Various,O-006961,Active,SD-000480,Tracing,
Various,O-006960,Active,SD-000078,Exp. function,
Various,O-006959,Active,SD-000148,Expressive,
Various,O-006958,Active,SD-000431,Sequence,
Various,O-006957,Active,SD-000511,Why don't/because,
Various,O-006956,Active,SD-000415,Reverse why/because,
Various,O-006955,Active,SD-000246,List,
Various,O-006954,Active,SD-000346,Question,
Various,O-006953,Active,SD-000447,Statement,
Various,O-006952,Active,SD-000459,TA's turn,
various,O-006951,Active,SD-000514,Why/because,
Various,O-006950,Active,SD-000048,Colour/shape,
Various,O-006949,Active,SD-000435,Shape,
Various,O-006948,Active,SD-000047,Colour,
Various,O-006947,Active,SD-000470,Tolerance,
Various,O-006946,Active,SD-000022,Activity,
Various,O-006945,Active,SD-000127,Expressive,
Various,O-006944,Active,SD-000366,Receptive,
Various,O-006943,Active,SD-000256,Matching,
Various,O-006942,Active,SD-000523,Written Word,
Various,O-006941,Active,SD-000275,Model,
Various,O-006940,Active,SD-000326,Pretend to be,
Various,O-006939,Active,SD-000327,Pretend with item,
Various,O-006938,Active,SD-000421,Safe Throwing Activity,
Various,O-006937,Active,SD-000115,Exposure,
Various,O-006936,Active,SD-000366,Receptive,
Various,O-006935,Active,SD-000252,Mand,
Various,O-006934,Active,SD-000251,Mand,
Various,O-006933,Active,SD-000268,Matching,
Various,O-006932,Active,SD-000422,Sampling,
Various,O-006931,Active,SD-000521,Write (with visual),
Various,O-006930,Active,SD-000267,Matching,
Various,O-006929,Active,SD-000443,Song with planned model,
Various,O-006928,Active,SD-000237,Intraverbal,
Various,O-006927,Active,SD-000391,Receptive,
Various,O-006926,Active,SD-000264,Matching,
Various,O-006925,Active,SD-000005,2 step rec. play instr.,
Various,O-006924,Active,SD-000045,Client Preposition,
Various,O-006923,Active,SD-000081,Exp. item. prep. loc.,
Various,O-006922,Active,SD-000090,Exp. prep. location,
Various,O-006921,Active,SD-000353,Rec. item prep. loc.,
Various,O-006920,Active,SD-000358,Rec. prep. location,
Various,O-006919,Active,SD-000311,Planned model with toy,
Various,O-006918,Active,SD-000144,Expressive,
Various,O-006917,Active,SD-000086,Exp. non-visual,
Various,O-006916,Active,SD-000143,Expressive,
