"SDID","SD: SD Name","Status","Area","PID","SD Description","Stage"
"SD-000128","Expressive","Active","Abstract Concepts","P-000031","","Stage Two"
"SD-000129","Expressive","Active","Abstract Concepts","P-000035","","Stage Four"
"SD-000130","Expressive","Active","Abstract Concepts","P-000037","","Stage Four"
"SD-000131","Expressive","Active","Expressive Language","P-000038","","Stage Two"
"SD-000132","Expressive","Active","School Readiness","P-000046","","Stage Three"
"SD-000133","Expressive","Active","Abstract Concepts","P-000057","","Stage Two"
"SD-000134","Expressive","Active","Expressive Language","P-000059","","Stage Three"
"SD-000135","Expressive","Active","Expressive Language","P-000061","","Stage Two"
"SD-000136","Expressive","Active","Expressive Language","P-000069","","Stage Three"
"SD-000137","Expressive","Active","Expressive Language","P-000071","","Stage Two"
"SD-000138","Expressive","Active","School Readiness","P-000106","","Stage Three"
"SD-000139","Expressive","Active","Expressive Language","P-000107","","Stage Two"
"SD-000140","Expressive","Active","School Readiness","P-000109","","Stage Three"
"SD-000141","Expressive","Active","School Readiness","P-000117","","Stage Three"
"SD-000142","Expressive","Active","Language","P-000121","","Stage Three"
"SD-000143","Expressive","Active","Abstract Concepts","P-000123","","Stage Two"
"SD-000144","Expressive","Active","Expressive Language","P-000129","","Stage Two"
"SD-000145","Expressive","Active","School Readiness","P-000131","","Stage Three"
"SD-000146","Expressive","Active","Abstract Concepts","P-000137","","Stage Three"
"SD-000147","Expressive","Active","Abstract Concepts","P-000170","","Stage Three"
"SD-000148","Expressive","Active","","P-000175","",""
"SD-000149","Expressive","Active","Abstract Concepts","P-000176","","Stage Two"
"SD-000150","Expressive","Active","Abstract Concepts","P-000222","","Stage Three"
"SD-000151","Expressive","Active","Abstract Concepts","P-000224","","Stage Four"
"SD-000152","Expressive","Active","School Readiness","P-000225","","Stage Three"
"SD-000153","Expressive","Active","Language","P-000226","","Stage Three"
"SD-000154","Expressive","Active","School Readiness","P-000229","","Stage Three"
"SD-000155","Expressive","Active","Expressive Language","P-000072","","Stage Two"
"SD-000156","Expressive","Active","Expressive Language","P-000104","","Stage Two"
"SD-000157","Expressive - Intra-verbal","Active","Expressive Language","P-000025","","Stage Two"
"SD-000158","Expressive - Tell me","Active","Conversation","P-000025","","Stage Two"
"SD-000159","Expressive - What is","Active","Expressive Language","P-000025","","Stage Two"
"SD-000160","Expressive (Animal says...)","Active","Play Skills","P-000006","","Stage Two"
"SD-000161","Expressive 3rd person","Active","Expressive Language","P-000004","","Stage Two"
"SD-000162","Expressive After","Active","Abstract Concepts","P-000013","","Stage Three"
"SD-000163","Expressive Before","Active","Abstract Concepts","P-000013","","Stage Three"
"SD-000164","Expressive feel","Active","Expressive Language","P-000174","","Stage Two"
"SD-000165","Expressive Function","Active","Expressive Language","P-000107","","Stage Two"
"SD-000166","Expressive hear","Active","Expressive Language","P-000174","","Stage Two"
"SD-000167","Expressive Imitation","Active","Expressive Language","P-000069","","Stage Three"
"SD-000168","Expressive Occupation Location","Active","Language","P-000107","","Stage Three"
"SD-000169","Expressive Person/Action","Active","Expressive Language","P-000004","","Stage Two"
"SD-000170","Expressive Q/A","Active","Play Skills","P-000006","","Stage Two"
"SD-000171","Expressive reason","Active","Expressive reasoning","P-000059","","Stage Four"
"SD-000172","Expressive reverse","Active","School Readiness","P-000225","","Stage Three"
"SD-000173","Expressive senses","Active","Expressive Language","P-000174","","Stage Two"
"SD-000174","Expressive taste","Active","Expressive Language","P-000174","","Stage Two"
"SD-000175","Expressive visual only","Active","Expressive Language","P-000061","","Stage Two"
"SD-000176","Expressive w/ objects","Active","Conversation","P-000026","","Stage Two"
"SD-000177","Expressive/Receptive","Active","Conversation","P-000026","","Stage Two"
"SD-000178","Factual","Active","Expressive Language","P-000233","","Stage Two"
"SD-000179","Food presentation","Active","Self-Care","P-000056","","Stage Two"
"SD-000180","From model","Active","Play Skills","P-000053","","Stage Two"
"SD-000181","From Play","Active","Learning to Learn","P-000032","","Stage One"
"SD-000182","Future","Active","Expressive Language","P-000197","","Stage Four"
"SD-000183","Game","Active","Social Play Skills","P-000017","","Stage Three"
"SD-000184","Gaze","Active","Learning to Learn","P-000102","","Stage Two"
"SD-000185","Generalised","Active","Learning to Learn","P-000151","","Stage One"
"SD-000186","Generalised","Active","Conversation","P-000090","","Stage Three"
"SD-000187","Generalised","Active","Matching","P-000186","","Stage One"
"SD-000188","Generalised","Active","Learning to Learn","P-000032","","Stage One"
"SD-000189","Generalised SD","Active","Kinder Readiness","P-000073","","Stage Two"
"SD-000190","Getting attention","Active","Communication","P-000034","","Stage One"
"SD-000191","Getting dressed","Active","Self-Care","P-000077","","Stage Two"
"SD-000192","Give me (number) (item)","Active","Kinder Readiness","P-000122","","Stage Two"
"SD-000193","Go Ask","Active","Conversation","P-000075","","Stage Three"
"SD-000194","Go give","Active","Conversation","P-000075","","Stage Three"
"SD-000195","Go show","Active","Conversation","P-000075","","Stage Three"
"SD-000196","Go tell","Active","Conversation","P-000075","","Stage Three"
"SD-000197","Go to","Active","Play Skills","P-000188","","Stage Two"
"SD-000198","Go To","Active","Receptive Language","P-000084","","Stage One"
"SD-000199","Go to and Action","Active","Receptive-Language","P-000082","","Stage Two"
"SD-000200","Go to and bring me","Active","Receptive-Language","P-000083","","Stage Two"
"SD-000201","Go to holding item","Active","Play Skills","P-000188","","Stage Two"
"SD-000202","Helmet tolerance","Active","Play Skills","P-000168","","Stage Two"
"SD-000203","Hidden Item","Active","Expressive reasoning","P-000198","","Stage Four"
"SD-000204","Holding hands","Active","Community Access","P-000219","","Stage Two"
"SD-000205","Holding hands tolerance","Active","Community Access","P-000219","","Stage Two"
"SD-000206","How many (items)?","Active","Kinder Readiness","P-000122","","Stage Two"
"SD-000207","How they feel","Active","Abstract Concepts","P-000040","","Stage Three"
"SD-000208","How to help","Active","Abstract Concepts","P-000040","","Stage Four"
"SD-000209","I have","Active","Conversation","P-000160","","Stage Three"
"SD-000210","Identical","Active","Matching","P-000001","","Stage One"
"SD-000211","Identical","Active","Matching","P-000002","","Stage One"
"SD-000212","Identical","Active","Matching","P-000003","","Stage One"
"SD-000213","Identical","Active","Matching","P-000186","","Stage One"
"SD-000214","Identical Receptive","Active","Abstract Concepts","P-000123","","Stage Two"
"SD-000215","If/then","Active","Receptive Language","P-000094","","Stage Three"
"SD-000216","Imaginary Play","Active","Social Play Skills","P-000141","","Stage Three"
"SD-000217","Imitation","Active","Play Skills","P-000011","","Stage Two"
"SD-000218","Imitation","Active","Play Skills","P-000016","","Stage One"
"SD-000219","Imitation","Active","Play Skills","P-000030","","Stage Two"
"SD-000220","Imitation","Active","Play Skills","P-000053","","Stage Two"
"SD-000221","Imitation","Active","SelfCare","P-000070","","Stage Two"
"SD-000222","Imitation","Active","Speech","P-000124","","Stage One"
"SD-000223","Imitation","Active","Social Play Skills","P-000135","","Stage Two"
"SD-000224","Imitation","Active","","P-000213","","Stage Three"
"SD-000225","In Sight","Active","","P-000093","Tolerance","Stage One"
"SD-000226","In view","Active","Receptive Language","P-000187","","Stage One"
"SD-000227","In Vivo","Active","Receptive Language","P-000022","","Stage Two"
"SD-000228","Instruction","Active","Learning to Learn","P-000033","","Stage One"
"SD-000229","Instruction","Active","Expressive Language","P-000047","","Stage Four"
"SD-000230","Instruction","Active","Receptive Language","P-000051","","Stage Three"
"SD-000231","Instruction","Active","Self-Care","P-000055","","Stage Two"
"SD-000232","Instruction","Active","Receptive-Language","P-000079","","Stage Two"
"SD-000233","Instruction w condition","Active","Receptive Language","P-000039","","Stage Two"
"SD-000234","Instruction w contextual cue","Active","Receptive Language","P-000041","","Stage One"
"SD-000235","Instruction with gesture","Active","Receptive Language","P-000051","","Stage Three"
"SD-000236","Instructional gesture","Active","Receptive Language","P-000074","","Stage Three"
"SD-000237","Intraverbal","Active","Expressive Language","P-000185","","Stage Two"
"SD-000238","Item","Active","Receptive Language","P-000022","","Stage One"
"SD-000239","Item","Active","Receptive Language","P-000081","","Stage One"
"SD-000240","Item for person not attending","Active","Conversation","P-000076","","Stage Two"
"SD-000241","item removed","Active","Abstract Concepts","P-000223","","Stage Three"
"SD-000242","Item with visual","Active","Receptive Language","P-000022","","Stage One"
"SD-000243","Labels exposure","Active","Receptive Language","P-000146","","Stage One"
"SD-000244","Language exposure","Active","Receptive Language","P-000054","","Stage Two"
"SD-000245","Less preferred item","Active","Social Play Skills","P-000210","","Stage Two"
"SD-000246","List","Active","Abstract Concepts","P-000027","","Stage Four"
"SD-000247","List Numbers","Active","Expressive Language","P-000156","","Stage Four"
"SD-000248","List words","Active","Expressive Language","P-000156","","Stage Four"
"SD-000249","Location","Active","Receptive Language","P-000081","","Stage One"
"SD-000250","Losing","Active","","P-000205","",""
"SD-000251","Mand","Active","Communication","P-000185","","Stage One"
"SD-000252","Mand","Active","Communication","P-000020","","Stage One"
"SD-000253","Mat time","Active","Kinder Readiness","P-000111","","Stage Two"
"SD-000254","Matching","Active","Abstract Concepts","P-000023","","Stage Three"
"SD-000255","Matching","Active","Abstract Concepts","P-000025","","Stage Two"
"SD-000256","Matching","Active","Matching","P-000029","","Stage One"
"SD-000257","Matching","Active","Matching","P-000031","","Stage One"
"SD-000258","Matching","Active","Abstract Concepts","P-000057","","Stage Two"
"SD-000259","Matching","Active","Kinder Readiness","P-000106","","Stage Two"
"SD-000260","Matching","Active","School Readiness","P-000109","","Stage Three"
"SD-000261","Matching","Active","Kinder Readiness","P-000117","","Stage Two"
"SD-000262","Matching","Active","School Readiness","P-000120","","Stage Three"
"SD-000263","Matching","Active","Matching","P-000129","","Stage One"
"SD-000264","Matching","Active","Matching","P-000176","","Stage One"
"SD-000265","Matching","Active","Matching","P-000208","","Stage One"
"SD-000266","Matching","Active","School Readiness","P-000228","","Stage Three"
"SD-000267","Matching","Active","School Readiness","P-000229","","Stage Three"
"SD-000268","Matching","Active","Matching","P-000005","","Stage One"
"SD-000269","Matching","Active","","P-000018","",""
"SD-000270","Matching different cases","Active","School Readiness","P-000106","","Stage Three"
"SD-000271","Meal","Active","","P-000178","",""
"SD-000272","missing component","Active","Abstract Concepts","P-000223","","Stage Three"
"SD-000273","missing component w/ visual","Active","","P-000223","",""
"SD-000274","Missing item","Active","","P-000172","","Stage Two"
"SD-000275","Model","Active","Communication","P-000034","","Stage One"
"SD-000276","Model","Active","Self-Care","P-000164","","Stage Three"
"SD-000277","Model language","Active","Receptive Language","P-000104","","Stage One"
"SD-000278","Model rule","Active","Abstract Concepts","P-000181","","Stage Three"
"SD-000279","Model sentence","Active","Language","P-000104","","Stage Three"
"SD-000280","Moderately preferred item","Active","Social Play Skills","P-000210","","Stage Two"
"SD-000281","Move back","Active","Receptive Language","P-000112","","Stage Two"
"SD-000282","Next","Active","","P-000139","",""
"SD-000283","No item","Active","Learning to Learn","P-000151","","Stage One"
"SD-000284","Non visual","Active","Conversation","P-000026","","Stage Two"
"SD-000285","Non-ID quantity matching","Active","School Readiness","P-000153","","Stage Three"
"SD-000286","Non-Identical","Active","Matching","P-000001","","Stage One"
"SD-000287","Non-identical","Active","Matching","P-000002","","Stage One"
"SD-000288","Non-identical","Active","Matching","P-000003","","Stage One"
"SD-000289","Non-Identical","Active","Matching","P-000186","","Stage One"
"SD-000290","Non-Identical Receptive","Active","Abstract Concepts","P-000123","","Stage Two"
"SD-000291","Not holding hands","Active","Community Access","P-000219","","Stage Two"
"SD-000292","Open ended task","Active","Social Play Skills","P-000210","","Stage Two"
"SD-000293","Out of sight","Active","","P-000093","",""
"SD-000294","Out of sight","Active","Receptive Language","P-000187","","Stage One"
"SD-000295","Painting","Active","Play Skills","P-000008","","Stage Two"
"SD-000296","Parent leaves (inside)","Active","Learning to Learn","P-000206","","Stage One"
"SD-000297","Parents leave (outside)","Active","Learning to Learn","P-000206","","Stage One"
"SD-000298","Passage from book","Active","Expressive Language","P-000156","","Stage Four"
"SD-000299","Past","Active","Language","P-000197","","Stage Three"
"SD-000300","Pasting","Active","Play Skills","P-000008","","Stage Two"
"SD-000301","Person","Active","Receptive Language","P-000081","","Stage One"
"SD-000302","Person facing away","Active","Conversation","P-000076","","Stage Two"
"SD-000303","Person not attending","Active","Conversation","P-000076","","Stage Two"
"SD-000304","Pictures","Active","Conversation","P-000026","","Stage Two"
"SD-000305","Place in finished box","Active","Learning to Learn","P-000066","","Stage One"
"SD-000306","Planned model","Active","Imitation","P-000138","","Stage Two"
"SD-000307","Planned model","Active","Imitation","P-000113","","Stage One"
"SD-000308","Planned model w item","Active","Imitation","P-000119","","Stage One"
"SD-000309","Planned model w item at table","Active","Imitation","P-000119","","Stage One"
"SD-000310","Planned model w item in play","Active","Imitation","P-000119","","Stage One"
"SD-000311","Planned model with toy","Active","Imitation","P-000134","","Stage Two"
"SD-000312","Play scenario","Active","Social Play Skills","P-000095","","Stage Three"
"SD-000313","Play situation","Active","Social Play Skills","P-000101","","Stage Three"
"SD-000314","PLQ Intraverbal","Active","Expressive Language","P-000185","","Stage Two"
"SD-000315","PLQ Mand","Active","Expressive Language","P-000004","","Stage Two"
"SD-000316","PLQ Mand","Active","Communication","P-000185","","Stage One"
"SD-000317","Point","Active","Learning to Learn","P-000102","","Stage Two"
"SD-000318","Point in direction","Active","Learning to Learn","P-000102","","Stage Two"
"SD-000319","Prebuilt 2D","Active","Play Skills","P-000016","","Stage One"
"SD-000320","Prebuilt 3D","Active","Play Skills","P-000016","","Stage One"
"SD-000321","Preferred item","Active","","P-000210","",""
"SD-000322","Present","Active","Expressive Language","P-000197","","Stage Two"
"SD-000323","Present activity","Active","Play Skills","P-000098","","Stage Two"
"SD-000324","Present iPad","Active","Play Skills","P-000100","","Stage Two"
"SD-000325","Present item","Active","Expressive Language","P-000190","","Stage Two"
"SD-000326","Pretend to be","Active","Play Skills","P-000141","","Stage Two"
"SD-000327","Pretend with item","Active","Play Skills","P-000141","","Stage Two"
"SD-000328","Program stimuli","Active","Learning to Learn","P-000151","","Stage One"
"SD-000329","Proloquo","Active","Conversation","P-000026","","Stage Two"
"SD-000330","Put it down","Active","Receptive Language","P-000152","","Stage One"
"SD-000331","Put with same/different","Active","Abstract Concepts","P-000170","","Stage Three"
"SD-000332","Q/A","Active","Abstract Concepts","P-000027","","Stage Four"
"SD-000333","Q/A","Active","School Readiness","P-000046","","Stage Three"
"SD-000334","Q/A","Active","Receptive Language","P-000074","","Stage Three"
"SD-000335","Q/A","Active","Language","P-000091","","Stage Three"
"SD-000336","Q/A","Active","Language","P-000092","","Stage Three"
"SD-000337","Q/A","Active","Expressive Language","P-000110","","Stage Four"
"SD-000338","Q/A","Active","Expressive reasoning","P-000169","","Stage Four"
"SD-000339","Q/A","Active","Conversation","P-000180","","Stage Two"
"SD-000340","Q/A","Active","Abstract Concepts","P-000014","","Stage Three"
"SD-000341","Q/A w clause","Active","Abstract Concepts","P-000027","","Stage Four"
"SD-000342","Quantity to numeral matching","Active","School Readiness","P-000153","","Stage Three"
"SD-000343","Question","Active","Expressive Language","P-000047","","Stage Four"
"SD-000344","Question","Active","Conversation","P-000075","","Stage Four"
"SD-000345","Question","Active","Expressive reasoning","P-000198","","Stage Four"
"SD-000346","Question","Active","Conversation","P-000043","","Stage Three"
"SD-000347","Question discrimination","Active","Expressive Language","P-000069","","Stage Three"
"SD-000348","Question with visual","Active","Conversation","P-000233","","Stage Two"
"SD-000349","Question without visual","Active","Conversation","P-000233","","Stage Two"
"SD-000350","Questions","Active","Speech","P-000171","","Stage Three"
"SD-000351","Rec. instr.","Active","Language","P-000096","","Stage Three"
"SD-000352","Rec. Instr.","Active","Receptive Language","P-000157","","Stage One"
"SD-000353","Rec. item prep. loc.","Active","Abstract Concepts","P-000140","","Stage Two"
"SD-000354","Rec. My/Your","Active","Abstract Concepts","P-000150","","Stage Three"
"SD-000355","Rec. our/their","Active","Abstract Concepts","P-000150","","Stage Three"
"SD-000356","Rec. play instr.","Active","Receptive Language","P-000159","","Stage One"
"SD-000357","Rec. play instr.","Active","Learning to Learn","P-000162","","Stage One"
"SD-000358","Rec. prep. location","Active","Abstract Concepts","P-000140","","Stage Two"
"SD-000359","Receptive","Active","Receptive Language","P-000004","","Stage One"
"SD-000360","Receptive","Active","Abstract Concepts","P-000010","","Stage Three"
"SD-000361","Receptive","Active","Play Skills","P-000011","","Stage Two"
"SD-000362","Receptive","Active","Receptive Language","P-000018","","Stage One"
"SD-000363","Receptive","Active","Receptive Language","P-000019","","Stage One"
"SD-000364","Receptive","Active","Abstract Concepts","P-000023","","Stage Three"
"SD-000365","Receptive","Active","Receptive Language","P-000025","","Stage Two"
"SD-000366","Receptive","Active","Abstract Concepts","P-000029","","Stage Two"
"SD-000367","Receptive","Active","Play Skills","P-000030","","Stage Two"
"SD-000368","Receptive","Active","Abstract Concepts","P-000031","","Stage Two"
"SD-000369","Receptive","Active","Abstract Concepts","P-000035","","Stage Four"
"SD-000370","Receptive","Active","Receptive Language","P-000036","","Stage Three"
"SD-000371","Receptive","Active","Receptive Language","P-000038","","Stage Two"
"SD-000372","Receptive","Active","Receptive Language","P-000042","","Stage Two"
"SD-000373","Receptive","Active","School Readiness","P-000046","","Stage Three"
"SD-000374","Receptive","Active","Play Skills","P-000053","","Stage Two"
"SD-000375","Receptive","Active","Abstract Concepts","P-000057","","Stage Two"
"SD-000376","Receptive","Active","Receptive Language","P-000059","","Stage Three"
"SD-000377","Receptive","Active","School Readiness","P-000063","","Stage Three"
"SD-000378","Receptive","Active","Receptive Language","P-000071","","Stage One"
"SD-000379","Receptive","Active","Receptive Language","P-000074","","Stage Three"
"SD-000380","Receptive","Active","School Readiness","P-000106","","Stage Three"
"SD-000381","Receptive","Active","Receptive Language","P-000107","","Stage One"
"SD-000382","Receptive","Active","School Readiness","P-000109","","Stage Three"
"SD-000383","Receptive","Active","School Readiness","P-000117","","Stage Three"
"SD-000384","Receptive","Active","School Readiness","P-000118","","Stage Three"
"SD-000385","Receptive","Active","Language","P-000121","","Stage Three"
"SD-000386","Receptive","Active","Receptive Language","P-000129","","Stage One"
"SD-000387","Receptive","Active","School Readiness","P-000131","","Stage Three"
"SD-000388","Receptive","Active","Abstract Concepts","P-000137","","Stage Three"
"SD-000389","Receptive","Active","Abstract Concepts","P-000140","","Stage Two"
"SD-000390","Receptive","Active","Abstract Concepts","P-000170","","Stage Three"
"SD-000391","Receptive","Active","Abstract Concepts","P-000176","","Stage Two"
"SD-000392","Receptive","Active","School Readiness","P-000229","","Stage Three"
"SD-000393","Receptive","Active","Play Skills","P-000006","","Stage Two"
"SD-000394","Receptive","Active","Receptive Language","P-000028","","Stage Two"
"SD-000395","Receptive","Active","Receptive Language","P-000130","","Stage Two"
"SD-000396","Receptive","Active","Receptive Language","P-000072","","Stage Two"
"SD-000397","Receptive","Active","Receptive Language","P-000089","","Stage Three"
"SD-000398","Receptive After","Active","Abstract Concepts","P-000013","","Stage Three"
